UniqueCount	AmbigCount
75	0
12	0
65	0
11	0
54	0
15	0
126	0
579	0
35	0
50	0
24	0
373	0
23	0
507	0
55	0
140	130
87	0
33	0
437	0
1255	0
2564	0
23	0
42	0
7	0
25	0
17	0
51	0
54	0
424	0
744	0
323	0
11340	0
2	0
2	8
231	2408
169	0
20	0
171	0
495	0
10	0
411	0
54	0
114	0
262	0
54	0
29	0
44	0
941	0
77	0
38	0
17	0
73	0
13	0
59	0
9	0
162	0
124	0
28	0
78	0
51	0
111	0
79	0
26	0
66	0
13	0
27	0
4	0
1	0
13	0
47	0
28	0
36	0
46	0
156	0
25	0
16	0
27	0
30	0
139	0
218	0
52	0
256	0
246	0
253	33
21	0
46	0
70	0
59	0
42	0
2	0
5	1
436	0
54	0
19	0
11	0
378	0
726	26
104	0
20	0
17	0
138	2
77	0
53	0
65	0
19	0
48	0
10	0
34	0
64	0
37	0
146	0
76	0
75	0
212	0
8	0
311	0
18	0
48	0
45	0
70	0
138	0
9	0
80	0
49	0
7	0
94	0
1038	0
48	0
46	0
184	0
41	0
5	0
12	0
33	0
27	0
31	0
120	0
192	0
18	0
82	0
45	0
15	0
762	0
50	0
76	0
104	0
30	0
64	0
15	0
112	0
45	0
36	0
36	0
17	0
36	0
47	0
409	0
37	0
23	0
699	0
5401	1
132	0
0	0
64	0
90	0
29	0
60	0
46	0
41	0
89	0
61	0
4	0
19	0
15	0
10	0
43	0
24	0
65	0
6	0
53	0
130	26
25	0
9	0
16	0
190	0
19	0
26	0
878	0
0	19
11	0
28	0
27	0
12	0
23	0
44	0
305	0
215	0
13	0
46	0
127	0
39	0
0	1
199	0
66	0
82	0
225	0
163	0
184	0
222	0
1098	0
104	0
0	0
60	0
51	0
31	0
21	0
8	0
43	0
22	0
253	0
26	0
155	0
738	0
23	0
234	0
511	0
35	0
360	0
43	0
37	0
17	0
95	0
48	0
22	0
20	0
727	4
550	0
108	0
64	0
139	0
54	0
223	0
87	0
0	1
129	28
15	0
42	0
23	0
18	0
452	0
14	0
214	0
74	0
14	0
63	0
218	0
55	0
27	0
43	0
1034	0
47	0
233	0
46	0
22	0
130	0
133	0
14	0
208	0
129	2
54	0
78	27
64	0
17	0
374	0
26	0
25	0
77	0
202	0
30	0
19	0
2203	0
2	21
84	0
29	0
541	0
51	0
83	0
23	0
47	0
16	0
32	0
79	0
37	0
27	0
60	0
9	0
267	0
3	0
1163	0
685	0
0	0
0	1267
35	318
10	0
0	0
3	14
8	0
25	0
467	238
245	699
47	0
63	0
49	0
10	0
14	0
39	0
37	0
32	0
35	0
1	14
0	2
247	0
551	0
339	0
17	0
40	0
99	0
23	0
63	0
2629	0
66	0
193	0
114	0
21	0
155	0
78	0
1462	0
0	0
1	0
59	0
14	0
6	0
123	0
29	0
29	0
30	0
28	0
38	0
16	0
64	0
91	0
16	0
419	0
97	0
331	0
74	0
31	0
73	0
153	0
49	0
97	0
12	0
14	0
95	0
39	0
54	0
91	0
30	0
34	0
45	0
59	0
11494	0
131	0
244	0
46	0
17	0
33	0
16	0
29	0
23	0
14	0
147	0
23	0
105	0
11	0
24	0
100	0
742	0
29	0
24	0
45	0
3	0
66	0
18	0
5	0
5	0
15	0
9	0
10	0
1	0
44	0
96	0
28	0
319	0
95	0
30	0
2633	0
1218	918
4281	0
44	0
11	0
3	8
8	26
218	0
146	0
877	0
236	0
288	0
36	0
21	0
20	0
6	0
7	0
102	0
89	0
274	0
123	0
84	0
1	0
292	0
6	0
149	0
42	0
54	0
78	0
1507	0
184	0
71	0
54	0
28	0
38	0
30	0
34	0
12	0
28	0
602	0
44	0
40	0
974	0
14	0
19	0
115	0
208	72
13	72
26	0
9	0
25	0
24	0
373	0
85	0
398	0
52	0
59	0
86	0
18	0
63	0
71	0
14	0
7	0
42	0
135	0
40	0
59	14
3	0
88	0
41	0
6	0
1095	0
0	0
82	0
89	0
48	0
36	0
44	0
160	0
45	0
64	0
7	0
180	0
84	0
381	0
27	0
20	0
13	0
50	0
921	0
88	0
63	0
235	81
9	51
32	0
282	0
82	0
305	0
34	0
110	0
164	0
385	0
3	0
48	0
95	0
87	0
10	0
43	0
59	0
128	0
190	0
79	0
41	0
20	0
89	0
13	0
88	0
18	0
94	0
30	0
14	0
6	0
1	0
24	0
6	0
8	0
29	0
92	0
66	0
36	0
11	0
105	0
2	0
32	0
744	0
9	0
69	0
117	284
31	0
186	0
14	0
8	0
915	0
64	0
5	0
27	0
38	0
27	0
136	0
8	0
9	0
44	0
55	0
18	0
4	0
93	0
43	0
30	0
133	0
698	0
50	0
20	0
77	0
183	0
29	0
10	0
17	0
21	0
39	0
32	0
16	0
51	544
11	0
269	0
15	0
37	0
282	0
0	1807
0	0
25	0
129	0
5	0
1	0
0	0
40	0
28	0
56	0
2	0
173	0
36	0
32	0
395	0
42	0
84	0
72	0
19	0
91	0
96	0
201	0
51	0
20	0
32	258
37	0
170	0
32	0
33	0
112	0
20	0
5	0
21	35
0	7
93	0
36	0
2	0
326	0
56	0
2	0
9	0
0	10
102	0
76	0
2222	0
94	0
63	0
20	0
65	0
2	0
431	0
7	0
15	0
1	14
25	0
902	0
18	0
103	0
220	0
19	0
57	0
3	0
3	0
1	0
27	0
79	0
30	0
363	0
129	0
309	0
92	0
47	0
29	0
18	0
88	0
13	0
36	0
35	0
70	0
475	1664
275	0
6	0
4	0
14	0
33	0
141	0
40	0
339	0
29	0
29	0
13	0
11	0
9	0
26	0
26	0
38	0
31	0
58	0
79	0
77	0
25	0
118	0
37	0
25	0
21	0
15	0
1	0
36	0
1332	0
55	0
56	15
434	2
70	0
25	0
92	0
117	0
18	0
35	0
0	0
12	0
37	0
1	0
18	0
54	0
757	0
19	0
108	0
13	0
15	0
95	0
79	0
171	0
18	0
62	0
18	0
42	0
177	0
133	0
32	0
57	0
145	0
671	0
16	0
126	0
14	0
37	0
32	0
359	0
10	0
37	0
83	0
123	0
157	0
57	0
24	0
54	0
194	5
126	0
583	0
7	0
43	0
8	0
47	0
0	0
112	0
11	0
133	0
677	0
102	0
8	0
33	0
1	0
183	0
50	0
70	0
50	0
95	0
58	0
278	0
49	0
19	0
4183	0
79	0
377	0
11	0
89	0
96	0
420	0
8	0
68	0
20	0
18	0
54	0
167	0
4	0
100	0
12	0
813	0
171	0
407	0
60	0
17	0
44	0
96	0
94	0
49	258
4	0
31	0
48	0
2	0
51	0
161	0
4	0
13	0
18	4
0	10
31	0
19	0
100	0
28	8
13	7
3	13
20	0
25	0
82	0
69	0
83	0
44	0
31	0
20	0
85	0
32	0
583	0
60	0
70	0
34	0
120	0
24	0
342	0
255	203
43	0
53	0
23	0
139	0
265	0
145	0
26	0
16	0
142	0
145	0
1545	0
75	0
12	0
132	2
5	0
22	0
77	1
151	0
20	0
58	0
347	0
1025	0
50	0
92	0
61	0
70	0
41	0
488	0
37	0
6	0
267	0
294	0
8	0
24	0
98	0
143	0
554	0
17	0
196	0
10	0
24	0
141	0
34	0
122	0
63	0
24	0
42	0
102	0
57	0
23	0
36	0
34	0
32	0
121	0
174	0
72	0
33	0
43	0
14	0
325	0
144	0
107	0
1662	0
191	8
27	0
4	0
22	0
132	0
28	248
64	0
28	0
18	1
192	0
28	0
157	0
201	0
16	0
76	0
25	0
2	0
466	0
48	0
25	1
263	81
167	0
28	0
65	0
253	0
92	0
394	0
47	0
53	0
37	0
108	0
68	0
45	0
56	0
165	0
89	0
117	0
303	0
206	0
165	0
69	0
92	0
54	0
18	0
45	0
31	0
15	0
39	0
150	292
137	0
51	0
22	0
60	0
55	0
9	0
25	0
21	0
20	0
33	0
17	0
42	0
115	0
18	0
35	0
98	0
44	0
23	0
38	0
127	0
96	0
127	0
18	0
321	0
1	26
54	0
13	0
56	0
50	0
27	0
0	0
41	0
23	0
132	0
155	0
23	0
10042	0
795	4394
0	11
12	0
21	0
21	0
20	0
130	0
0	1
403	0
16	0
15	0
106	0
79	0
78	0
80	12
141	0
32	0
1	0
7	0
62	0
268	33
14	0
78	0
113	0
223	0
59	0
101	0
18	0
35	0
60	14
14	0
239	0
60	0
115	0
12	0
59	0
23	0
47	0
136	0
145	0
22	0
69	0
35	0
32	0
51	0
11	0
41	0
187	0
111	0
20	0
33	0
75	0
12	0
13	0
84	0
30	0
541	0
71	0
22	0
33	0
400	0
78	0
19	0
40	0
293	0
203	0
196	0
204	0
56	0
1	0
115	0
88	0
70	0
10	0
49	0
156	0
1	0
326	0
9	0
360	0
55	0
43	0
93	0
83	0
34	0
32	0
138	19
32	0
31	0
8	0
35	0
29	0
27	0
41	0
94	0
74	0
138	0
270	0
113	0
51	0
46	0
43	0
276	0
85	0
99	0
62	0
210	0
114	72
1	0
66	0
1344	0
14	0
260	0
56	0
74	0
164	0
142	0
57	0
20	0
337	0
1	0
37	0
3	0
2661	0
35	0
343	0
133	0
14	0
33	0
66	0
34	0
4	0
15	0
173	0
24	0
70	0
140	0
257	0
403	0
5	0
6	0
39	0
126	0
1401	0
1885	0
0	0
58	0
329	0
71	0
119	0
218	0
496	0
148	0
56	0
26	0
102	0
38	0
25	0
8	0
599	0
17	0
18	0
30	0
147	0
44	0
69	0
30	0
8	0
2	9
24	0
20	0
12	3
4	0
0	0
13	0
13	0
5	0
11	0
11	0
17	0
27	0
37	0
36	0
180	0
48	0
138	0
24	0
50	0
74	0
3	0
24	0
99	0
55	0
16	0
8	0
68	0
107	117
84	19
30	0
50	0
23	0
38	0
50	0
23	0
70	0
20	0
88	0
127	5
90	0
253	0
62	0
159	0
236	0
61	0
285	0
2894	0
522	0
227	0
144	0
21	0
76	0
5	0
666	25
435	25
11	0
55	0
294	0
155	0
64	0
923	0
34	0
47	0
4	0
18	0
28	0
486	0
72	0
339	0
295	0
17	0
77	788
142	0
509	0
51	0
95	0
31	0
56	0
116	0
1415	0
172	0
75	0
19	0
14	0
22	0
67	0
324	0
28	0
53	0
108	0
115	0
85	0
154	0
135	0
23	0
42	0
30	0
22	0
12	0
85	0
167	0
341	0
1	0
403	0
105	0
25	0
74	0
46	0
143	0
266	0
56	0
121	0
59	0
53	0
205	0
103	0
27	0
29	0
148	0
25	0
80	0
58	0
65	0
166	0
56	0
141	0
90	0
96	0
6	0
30	0
81	0
14	0
62	0
201	0
22	0
83	0
102	0
33	0
43	0
142	0
21	0
9	0
92	0
13	0
218	0
64	0
45	0
562	466
18	0
99	0
35	0
70	0
30	0
18	0
435	0
226	0
11	0
161	0
45	0
25	0
12	0
147	0
269	0
155	0
292	0
8	0
26	0
3896	0
50	5
112	284
43	0
11	0
34	0
39	0
126	0
28	0
48	0
36	0
280	0
70	0
58	0
65	0
406	0
438	0
118	0
12	0
297	0
69	0
288	0
12	0
37	0
103	0
277	0
252	0
161	0
169	0
311	0
16	0
60	0
102	0
625	0
50	0
8	0
6	0
47	0
28	0
1018	0
109	237
2	0
12	0
133	0
69	0
20	0
99	0
96	0
282	0
18	0
67	0
226	0
45	0
20	0
62	0
44	0
62	0
99	0
96	0
37	0
469	0
314	0
49	0
24	0
70	0
106	0
61	0
338	0
105	0
80	0
387	0
31	0
54	0
19	0
13	0
93	0
176	0
102	0
19	0
38	0
272	0
19	0
65	0
61	0
3	0
16	0
136	0
30	0
38	0
90	0
94	0
287	0
13	0
906	0
83	0
77	0
477	0
66	0
710	0
57	0
6	0
29	0
90	0
4	0
24	0
119	0
9	0
22	0
79	0
39	0
27	0
29	0
19	0
24	0
24	0
42	0
46	0
114	0
16	0
42	0
10	0
54	127
146	116
18	0
377	0
166	0
37	0
272	0
17	0
39	0
66	0
43	0
40	0
21	0
79	0
19	0
28	0
3	0
8	0
74	0
306	0
48	0
24	0
13	0
192	0
4	0
53	0
78	0
16	7
0	10
12	0
16	101
96	0
15	0
152	0
5923	0
29	0
35	0
200	0
153	0
478	0
13	0
267	0
24	0
57	0
241	0
67	0
107	0
130	0
31	0
53	0
16	0
71	0
200	0
90	0
22	0
23	0
67	0
323	0
389	0
381	0
74	0
44	0
210	0
267	0
413	98
756	6
28	0
20	0
30	0
170	0
11	0
91	0
438	0
255	0
32	0
164	0
104	0
0	1
0	1853
20	0
188	0
38	0
36	0
35	0
106	0
100	0
17	0
227	0
7	0
79	0
122	0
116	0
356	0
7	0
12	0
63	0
51	0
214	0
339	0
54	0
18	0
15	0
86	0
45	0
55	0
11	0
23	0
514	0
295	0
114	0
44	0
378	0
166	0
137	0
4514	0
17	0
367	0
88	0
153	0
105	0
85	0
28	0
30	0
69	0
18	0
19	0
26	0
77	0
129	0
250	0
9	0
1223	0
122	0
60	0
94	0
1085	0
812	0
25	0
37	0
100	11
25	0
69	0
15	0
97	0
31	0
50	0
29	0
201	0
578	1
13	0
17	0
15	0
411	0
52	0
292	0
9	0
30	0
24	0
8	0
146	0
38	0
92	0
31	0
19	0
123	0
17	0
25	0
26	0
27	0
19	0
24	0
30	0
34	0
445	0
53	0
9	0
12	0
3	0
25	0
46	0
213	0
55	0
734	0
879	0
408	0
280	0
122	0
57	0
32	0
62	0
760	0
475	0
447	0
35	0
5	0
185	0
9	0
81	0
45	0
24	0
62	0
79	6
7	0
21	0
7	0
0	1
82	0
22	0
0	1831
63	0
60	0
160	0
40	0
429	0
57	0
17	0
38	0
83	0
227	0
137	0
391	0
40	0
19	0
5	0
38	0
11	0
35	0
110	0
70	0
242	1
67	0
226	0
169	0
20	0
29	0
110	0
73	0
60	0
91	0
148	0
170	0
38	0
145	0
235	0
19	0
104	0
27	0
14	0
74	0
30	0
58	1
233	0
1612	0
347	0
96	0
192	0
154	0
22	0
35	0
280	0
889	62
59	0
23	0
20	0
146	0
0	170
2	15
12	0
20	0
40	0
13	0
219	0
28	0
1114	0
92	0
29	0
125	0
3041	0
25	0
316	0
1313	0
47	0
20	0
4	0
28	0
27	0
53	0
23	0
334	0
122	0
28	0
665	0
264	0
10	0
166	0
10	0
236	0
9	0
73	1
15	0
441	0
31	0
37	0
316	0
77	0
173	0
177	0
32	0
90	0
101	0
13	0
10	0
311	0
69	0
268	0
25	0
177	0
61	0
99	0
11	0
150	0
19	0
82	0
22	0
80	0
149	0
59	0
147	0
51	0
31	0
43	0
65	0
11	0
322	0
339	0
36	0
117	0
62	0
18	0
179	0
485	0
253	0
79	0
14	0
536	0
28	0
178	100
14	0
21	0
246	217
11	0
76	0
52	0
35	0
38	0
5	0
22	0
4	0
24	0
48	0
33	0
587	0
140	0
265	0
3	0
283	0
38	0
89	0
56	0
69	0
68	0
75	0
24	0
243	57
26	0
12	0
16	0
60	0
89	0
23	0
34	0
71	0
64	0
402	0
234	0
39	0
268	0
23	0
15	0
82	0
60	0
41	0
57	0
440	0
68	0
48	0
16	0
3	0
104	0
63	0
441	0
54	0
30	0
597	0
31	0
21	0
295	0
96	0
259	0
31	0
85	0
45	0
383	0
50	0
101	0
6	0
51	0
90	0
22	0
23	0
33	0
136	0
51	0
108	0
10	0
258	0
93	0
64	0
101	0
125	0
228	0
160	0
377	0
32	0
145	0
11	0
71	0
66	0
43	0
51	0
73	0
250	0
745	494
286	3826
470	3826
115	0
0	1555
60	0
36	0
98	0
56	0
346	0
224	0
80	0
31	0
38	0
85	0
211	0
90	0
113	0
34	0
24	0
42	0
648	0
122	0
9	0
90	0
38	0
9	0
187	0
14	0
14	0
131	0
36	14
76	0
132	0
52	0
10	0
59	0
244	0
162	0
24	0
58	0
62	0
19	0
84	0
410	0
207	0
163	0
103	0
191	0
747	0
38	0
37	0
80	0
22	0
18	0
24	0
69	0
223	0
9	0
29	0
19	0
57	0
68	0
229	0
215	0
50	0
19	0
13	0
41	0
22	0
25	0
26	0
111	0
20	0
44	0
79	0
43	0
212	0
171	0
193	0
29	0
980	0
15	0
49	0
64	0
286	0
48	0
272	0
320	0
6	86
397	0
58	0
45	0
31	0
187	0
658	0
129	0
357	0
55	0
26	0
261	0
34	0
17	0
53	0
57	0
152	0
44	0
28	0
17	0
69	0
54	0
656	0
9	0
12	0
176	0
77	0
76	0
39	0
10	0
114	0
193	0
5	0
79	0
33	0
54	0
6	0
20	0
197	0
31	0
43	0
27	0
24	0
134	0
107	0
44	0
30	0
67	0
235	0
126	0
51	0
8	0
311	0
69	0
18	0
89	0
6	0
94	0
147	106
55	0
46	0
19	0
4	5
61	0
33	0
26	0
43	0
45	0
19	0
5	0
26	0
215	18
121	0
22	0
116	0
216	0
92	0
17	0
14	0
45	0
35	0
31	0
297	0
30	0
75	0
